Price,Location,Area,Street,Facade,Direction,Saler,Type,Floor,Bathrooms,Bedrooms,Legal Doc
4.75 Tỷ - 52.78 Triệu/m²,"Quận Sơn Trà, Thành phố Đà Nẵng",90 m²,Mặt phố - Mặt đường,5m,Đông Bắc,Nhà môi giới,Nhà ở,---,---,2,---
Thương lượng,"Thị xã Phổ Yên, Tỉnh Thái Nguyên",120 m²,Mặt phố - Mặt đường,8.5m,---,Sàn bất động sản,Đất - Đất nền - Nhà như đất,---,---,---,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng
2.2 Tỷ - 56.41 Triệu/m²,"Huyện Hoài Đức, Thành phố Hà Nội",39 m²,Ngõ 1 ô tô,3.5m,Tây,Chính chủ,Đất - Đất nền - Nhà như đất,---,---,---,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng
770 Triệu - 14 Triệu/m²,"Quận Thanh Xuân, Thành phố Hà Nội",55 m²,Ngõ 1 ô tô,---,---,Chính chủ,"Chung cư, Chung cư mini",---,---,---,"Giấy CN QSDĐ - Sổ đỏ - Sổ hồng, Hợp đồng mua bán"
890 Triệu - 8.9 Triệu/m²,"Huyện Bàu Bàng, Tỉnh Bình Dương",100 m²,Ngõ 4 ô tô trở lên,5m,Tây,Nhà môi giới,Đất - Đất nền - Nhà như đất,---,---,---,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng
800 Triệu - 19.51 Triệu/m²,"Huyện Gia Lâm, Thành phố Hà Nội",41 m²,Ngõ ngách,3.6m,---,Nhà môi giới,Đất - Đất nền - Nhà như đất,---,---,---,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng
1.9 Tỷ - 37.25 Triệu/m²,"Thị xã Thuận An, Tỉnh Bình Dương",51 m²,Mặt phố - Mặt đường,---,---,Nhà môi giới,Chung cư,---,---,---,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng
630 Triệu - 5.94 Triệu/m²,"Huyện Sóc Sơn, Thành phố Hà Nội",106 m²,Ngõ 1 ô tô,5m,---,Nhà môi giới,Đất - Đất nền - Nhà như đất,---,---,---,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng
Thương lượng,"Thành phố Thái Nguyên, Tỉnh Thái Nguyên",96 m²,Mặt phố - Mặt đường,6m,Đông Nam,Quảng cáo,"Biệt thự - Song lập - Đơn lập, Nhà liền kề - Song lập - Đơn lập",---,---,---,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng
660 Triệu - 11.79 Triệu/m²,"Quận Đống Đa, Thành phố Hà Nội",56 m²,Ngõ 1 ô tô,---,---,Chính chủ,"Chung cư, Chung cư mini",---,---,---,"Giấy CN QSDĐ - Sổ đỏ - Sổ hồng, Hợp đồng mua bán"
2.6 Tỷ - 86.67 Triệu/m²,"Quận Nam Từ Liêm, Thành phố Hà Nội",30 m²,Ngõ ngách,---,Đông Nam,Chính chủ,Nhà ở,---,4,3,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng
620 Triệu - 11.27 Triệu/m²,"Quận Đống Đa, Thành phố Hà Nội",55 m²,Ngõ 1 ô tô,---,---,Chính chủ,"Chung cư, Chung cư mini",---,---,---,"Giấy CN QSDĐ - Sổ đỏ - Sổ hồng, Hợp đồng mua bán"
930 Triệu - 9.3 Triệu/m²,"Huyện Sóc Sơn, Thành phố Hà Nội",100 m²,Ngõ 1 ô tô,5m,Đông Nam,Nhà môi giới,Đất - Đất nền - Nhà như đất,---,---,---,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng
1 Tỷ - 10 Triệu/m²,"Thị xã Bến Cát, Tỉnh Bình Dương",100 m²,Mặt phố - Mặt đường,5m,---,Nhà môi giới,Đất - Đất nền - Nhà như đất,---,---,---,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng
13.5 Tỷ - 207.69 Triệu/m²,"Quận Cầu Giấy, Thành phố Hà Nội",65 m²,Ngõ 2 ô tô tránh,5.5m,---,Nhà môi giới,Nhà ở,---,4,4,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng
670 Triệu - 14.57 Triệu/m²,"Quận Ba Đình, Thành phố Hà Nội",46 m²,Ngõ 1 ô tô,---,---,Chính chủ,"Chung cư, Chung cư mini",---,---,---,"Giấy CN QSDĐ - Sổ đỏ - Sổ hồng, Hợp đồng mua bán"
730 Triệu - 15.53 Triệu/m²,"Quận Ba Đình, Thành phố Hà Nội",47 m²,Ngõ 2 ô tô tránh,---,---,Chính chủ,"Chung cư, Chung cư mini",---,---,---,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng
2.55 Tỷ - 31.88 Triệu/m²,"Quận Cẩm Lệ, Thành phố Đà Nẵng",80 m²,Ngõ 2 ô tô tránh,---,Đông,Nhà môi giới,Đất - Đất nền - Nhà như đất,---,---,---,---
2 Tỷ - 54.05 Triệu/m²,"Quận Ba Đình, Thành phố Hà Nội",37 m²,Ngõ ngách,3.5m,---,Nhà môi giới,Nhà ở,---,5,4,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng
7.6 Tỷ - 253.33 Triệu/m²,"Quận Ba Đình, Thành phố Hà Nội",30 m²,Mặt phố - Mặt đường,4.5m,---,Chính chủ,Nhà ở,---,---,---,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng
752 Triệu - 9.4 Triệu/m²,"Huyện Châu Thành, Tỉnh Hậu Giang",80 m²,Ngõ 4 ô tô trở lên,5m,Đông Nam,Nhà môi giới,Đất - Đất nền - Nhà như đất,---,---,---,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng
2.5 Tỷ - 50 Triệu/m²,"Huyện Gia Lâm, Thành phố Hà Nội",50 m²,Ngõ 3 ô tô tránh,4.6m,---,Nhà môi giới,Đất - Đất nền - Nhà như đất,---,---,---,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng
24 Tỷ - 206.9 Triệu/m²,"Quận Bắc Từ Liêm, Thành phố Hà Nội",116 m²,---,---,---,Nhà môi giới,Biệt thự - Song lập - Đơn lập,---,---,---,---
1.2 Tỷ - 10 Triệu/m²,"Huyện Đồng Phú, Tỉnh Bình Phước",120 m²,Mặt phố - Mặt đường,---,---,Nhà môi giới,Đất - Đất nền - Nhà như đất,---,---,---,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng
