Price,Area,Street,Facade,Direction,Saler,Type,Floor,Bathrooms,Bedrooms,Legal Doc,Price(million/m_square),District,City
4.75,90,Mặt phố - Mặt đường,5,Đông Bắc,Nhà môi giới,Nhà ở,,,2,,52.78,Quận Sơn Trà, Thành phố Đà Nẵng
2.2,39,Ngõ 1 ô tô,3.5,Tây,Chính chủ,Đất - Đất nền - Nhà như đất,,,,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng,56.41,Huyện Hoài Đức, Thành phố Hà Nội
0.77,55,Ngõ 1 ô tô,,,Chính chủ,Chung cư mini,,,,"Giấy CN QSDĐ - Sổ đỏ - Sổ hồng, Hợp đồng mua bán",14,Quận Thanh Xuân, Thành phố Hà Nội
0.89,100,Ngõ 4 ô tô trở lên,5,Tây,Nhà môi giới,Đất - Đất nền - Nhà như đất,,,,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng,8.9,Huyện Bàu Bàng, Tỉnh Bình Dương
0.8,41,Ngõ ngách,3.6,,Nhà môi giới,Đất - Đất nền - Nhà như đất,,,,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng,19.51,Huyện Gia Lâm, Thành phố Hà Nội
1.9,51,Mặt phố - Mặt đường,,,Nhà môi giới,Chung cư,,,,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng,37.25,Thị xã Thuận An, Tỉnh Bình Dương
0.63,106,Ngõ 1 ô tô,5,,Nhà môi giới,Đất - Đất nền - Nhà như đất,,,,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng,5.94,Huyện Sóc Sơn, Thành phố Hà Nội
0.66,56,Ngõ 1 ô tô,,,Chính chủ,Chung cư mini,,,,"Giấy CN QSDĐ - Sổ đỏ - Sổ hồng, Hợp đồng mua bán",11.79,Quận Đống Đa, Thành phố Hà Nội
2.6,30,Ngõ ngách,,Đông Nam,Chính chủ,Nhà ở,,4,3,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng,86.67,Quận Nam Từ Liêm, Thành phố Hà Nội
0.62,55,Ngõ 1 ô tô,,,Chính chủ,Chung cư mini,,,,"Giấy CN QSDĐ - Sổ đỏ - Sổ hồng, Hợp đồng mua bán",11.27,Quận Đống Đa, Thành phố Hà Nội
0.93,100,Ngõ 1 ô tô,5,Đông Nam,Nhà môi giới,Đất - Đất nền - Nhà như đất,,,,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng,9.3,Huyện Sóc Sơn, Thành phố Hà Nội
1,100,Mặt phố - Mặt đường,5,,Nhà môi giới,Đất - Đất nền - Nhà như đất,,,,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng,10,Thị xã Bến Cát, Tỉnh Bình Dương
